name,age,team,position,TOI,season
Mike Keane,30,2TM,RW,1481.2833333333333,1998
Mike Keane,30,NYR,RW,1283.6333333333334,1998
Mike Keane,30,DAL,RW,197.65,1998
J.J. Daigneault,32,2TM,D,1506.9166666666667,1998
J.J. Daigneault,32,MDA,D,1094.1,1998
J.J. Daigneault,32,NYI,D,412.81666666666666,1998
Brad May,26,2TM,LW,768.45,1998
Brad May,26,BUF,LW,366.4,1998
Brad May,26,VAN,LW,402.05,1998
BenoÃ®t Hogue,31,DAL,LW,726.8166666666667,1998
Tomas HolmstrÃ¶m,25,DET,LW,544.3666666666667,1998
Jari Kurri,37,COL,C,1044.4333333333334,1998
Robert Lang,27,2TM,C,880.0166666666667,1998
Robert Lang,27,BOS,C,33.916666666666664,1998
Robert Lang,27,PIT,C,846.1,1998
Daymond Langkow,21,TBL,C,1172.7166666666667,1998
Eddie Olczyk,31,PIT,LW,829.8833333333333,1998
Wade Redden,20,OTT,D,1604.85,1998
Darryl Shannon,29,BUF,D,1680.55,1998
StÃ©phane Yelle,23,COL,C,1361.75,1998
Jason Wiemer,21,2TM,LW,1129.7333333333333,1998
Jason Wiemer,21,TBL,LW,955.3166666666667,1998
Jason Wiemer,21,CGY,LW,174.41666666666666,1998
Keith Carney,27,2TM,D,1727.5833333333333,1998
Keith Carney,27,CHI,D,1278.6833333333334,1998
Keith Carney,27,PHX,D,448.9,1998
Joe Murphy,30,2TM,RW,509.9166666666667,1998
Joe Murphy,30,STL,RW,376.5833333333333,1998
Joe Murphy,30,SJS,RW,133.33333333333334,1998
Valeri Zelepukin,29,2TM,LW,841.2833333333333,1998
Valeri Zelepukin,29,NJD,LW,424.9166666666667,1998
Valeri Zelepukin,29,EDM,LW,416.3666666666667,1998
Bob Corkum,30,PHX,C,1236.1,1998
Anders Eriksson,23,DET,D,1212.8833333333334,1998
Sergei Gonchar,23,WSH,D,1429.9166666666667,1998
Ian LaperriÃ¨re,24,LAK,C,1023.2666666666667,1998
Janne Laukkanen,27,OTT,D,1344.25,1998
David Nemirovsky,21,FLA,RW,504.26666666666665,1998
Sean Pronger,25,2TM,LW,869.6166666666667,1998
Sean Pronger,25,MDA,LW,794.3833333333333,1998
Sean Pronger,25,PIT,LW,75.23333333333333,1998
Esa Tikkanen,33,2TM,LW,840.4833333333333,1998
Esa Tikkanen,33,FLA,LW,428.43333333333334,1998
Esa Tikkanen,33,WSH,LW,412.05,1998
Bruce Driver,35,NYR,D,1549.6333333333334,1998
Alex Hicks,28,PIT,LW,751.2666666666667,1998
Claude Lapointe,29,NYI,C,1118.4333333333334,1998
Richard Å mehlÃ­k,28,BUF,D,1636.8333333333333,1998
Peter Zezel,32,2TM,C,505.56666666666666,1998
Peter Zezel,32,NJD,C,60.516666666666666,1998
Peter Zezel,32,VAN,C,445.05,1998
Darcy Tucker,22,2TM,C,993.9333333333333,1998
Darcy Tucker,22,MTL,C,387.6666666666667,1998
Darcy Tucker,22,TBL,C,606.2666666666667,1998
Doug Bodger,31,2TM,D,1440.2833333333333,1998
Doug Bodger,31,SJS,D,608.6,1998
Doug Bodger,31,NJD,D,831.6833333333333,1998
Tommy Albelin,33,CGY,D,1488.8333333333333,1998
Marc Bureau,31,MTL,C,982.3,1998
Wendel Clark,31,TOR,LW,701.4,1998
Colin Forbes,21,PHI,LW,764.4833333333333,1998
Todd Harvey,22,DAL,C,721.25,1998
Denny Lambert,28,OTT,LW,743.55,1998
Grant Marshall,24,DAL,RW,725.3666666666667,1998
Chris Therien,26,PHI,D,1578.7666666666667,1998
Oleg Tverdovsky,21,PHX,D,917.5166666666667,1998
Shaun Van Allen,30,OTT,C,1051.3166666666666,1998
Steve Washburn,22,FLA,C,750.05,1998
Patrick Poulin,24,2TM,LW,1132.6333333333334,1998
Patrick Poulin,24,TBL,LW,657.9333333333333,1998
Patrick Poulin,24,MTL,LW,474.7,1998
Donald Brashear,26,VAN,LW,816.1833333333333,1998
Bobby Carpenter,34,NJD,LW,1017.6166666666667,1998
Russ Courtnall,32,LAK,RW,919.5166666666667,1998
Gerald Diduck,32,PHX,D,1551.7166666666667,1998
Steve Dubinsky,27,CHI,C,1045.55,1998
Bruce Gardiner,25,OTT,C,772.35,1998
Richard Matvichuk,24,DAL,D,1645.5833333333333,1998
Ethan Moreau,22,CHI,LW,795.8666666666667,1998
Rem Murray,25,EDM,C,761.5666666666667,1998
Dave Reid,33,DAL,LW,1006.4333333333333,1998
Mike Sullivan,29,BOS,C,1015.0666666666667,1998
Petr Svoboda,31,PHI,D,1054.1166666666666,1998
Darren Turcotte,29,STL,C,773.3333333333334,1998
Brad Werenka,28,PIT,D,1470.2666666666667,1998
Tom Fitzgerald,29,2TM,C,1143.8,1998
Tom Fitzgerald,29,FLA,C,981.15,1998
Tom Fitzgerald,29,COL,C,162.65,1998
Sandy McCarthy,25,2TM,RW,783.0833333333334,1998
Sandy McCarthy,25,CGY,RW,589.8166666666667,1998
Sandy McCarthy,25,TBL,RW,193.26666666666668,1998
Shean Donovan,23,2TM,RW,694.2166666666667,1998
Shean Donovan,23,SJS,RW,249.11666666666667,1998
Shean Donovan,23,COL,RW,445.1,1998
Pat Falloon,25,2TM,RW,748.7833333333333,1998
Pat Falloon,25,PHI,RW,382.21666666666664,1998
Pat Falloon,25,OTT,RW,366.56666666666666,1998
Josef Marha,21,2TM,LW,340.0833333333333,1998
Josef Marha,21,COL,LW,120.41666666666667,1998
Josef Marha,21,MDA,LW,219.66666666666666,1998
Mikael Andersson,31,TBL,LW,932.7666666666667,1998
Mathieu Dandenault,21,DET,RW,670.0833333333334,1998
Sergei Fedorov,28,DET,RW,442.1666666666667,1998
Adam Foote,26,COL,D,1657.7833333333333,1998
Brad Isbister,20,PHX,LW,847.9333333333333,1998
Gord Murphy,30,FLA,D,1689.3833333333334,1998
Sean O'Donnell,26,LAK,D,1614.65,1998
James Patrick,34,CGY,D,1173.4,1998
Tomas SandstrÃ¶m,33,MDA,LW,1103.95,1998
Chris Simon,26,WSH,LW,484.05,1998
John Slaney,25,PHX,D,1068.1166666666666,1998
JiÅÃ­ Å lÃ©gr,26,PIT,D,1341.05,1998
Mark Tinordi,31,WSH,D,956.7166666666667,1998
Jeff Norton,32,2TM,D,1100.25,1998
Jeff Norton,32,TBL,D,748.4,1998
Jeff Norton,32,FLA,D,351.85,1998
Radek Bonk,22,OTT,C,833.9166666666666,1998
Philippe Boucher,24,LAK,D,827.6333333333333,1998
Jan Bulis,19,WSH,C,505.4,1998
Hnat Domenichelli,21,CGY,LW,384.8833333333333,1998
Ted Drury,26,MDA,LW,888.1666666666666,1998
Alyn McCauley,20,TOR,C,814.1666666666666,1998
Ãric Messier,24,COL,D,1088.2666666666667,1998
Andrei Nikolishin,24,WSH,C,562.9333333333333,1998
Chris Phillips,19,OTT,D,1295.2166666666667,1998
StÃ©phane Quintal,29,MTL,D,1371.2,1998
Jason Smith,24,TOR,D,1653.9,1998
Don Sweeney,31,BOS,D,1243.6333333333334,1998
Jason York,27,OTT,D,1527.6333333333334,1998
Craig Berube,32,WSH,LW,629.4333333333333,1998
James Black,28,CHI,RW,648.5333333333333,1998
Ray Ferraro,33,LAK,C,564.9666666666667,1998
Mike Grier,23,EDM,RW,708.4166666666666,1998
Andreas Johansson,24,PIT,RW,568.0333333333333,1998
Rob Niedermayer,23,FLA,C,601.9,1998
Mike Rathje,23,SJS,D,1596.5166666666667,1998
Pascal RhÃ©aume,24,STL,LW,530.4166666666666,1998
Ruslan Salei,23,MDA,D,1203.5833333333333,1998
